spotID,judgement,confidence,tug,dtime,tom_conf,jerry_conf,tweety_conf
0,nocc,0.505609393119812,0.03365636,1.004873514175415,99.93522763252258,99.99914169311523,51.618897914886475
1,nocc,0.509804884592692,0.058829427,1.0020866394042969,99.93795156478882,99.99914169311523,52.880293130874634
2,nocc,0.5558980305989584,0.3353883,1.0041277408599854,99.97746348381042,99.99914169311523,66.74774289131165
3,nocc,0.5048996607462565,0.029397845,1.8750598430633545,99.92080330848694,99.99914169311523,51.39155387878418
4,occ,0.5343296527862549,-0.20597804,1.0142548084259033,99.99053478240967,99.99914169311523,60.30750870704651
5,occ,0.5233954588572184,-0.14037275,1.0108592510223389,99.97186064720154,99.99914169311523,57.045912742614746
6,occ,0.5663167635599772,-0.39790058,0.99859619140625,99.98356103897095,99.99914169311523,69.91060376167297
7,occ,0.5966982841491699,-0.5801896,1.0143961906433105,99.96777772903442,99.99914169311523,79.04084324836731
8,occ,0.6184336344401041,-0.7106019,1.0161139965057373,99.97326731681824,99.99914169311523,85.55597066879272
9,occ,0.605443517367045,-0.6326611,1.0278599262237549,99.98935461044312,99.99914169311523,81.64284229278564
10,occ,0.5983002583185831,-0.58980167,1.0170989036560059,99.97560381889343,99.99914169311523,79.51361536979675
11,occ,0.6358153820037842,-0.8148922,1.0107300281524658,99.92876648902893,99.99914169311523,90.81498980522156
12,occ,0.6233177979787191,-0.73990655,1.010246753692627,99.90963935852051,99.99914169311523,87.08483576774597
13,occ,0.6073845624923706,-0.6443074,0.989743709564209,99.90332126617432,99.99914169311523,82.3111891746521
14,occ,0.5734320481618246,-0.4405924,1.028761625289917,99.87704157829285,99.99914169311523,72.15172052383423
15,occ,0.5979898373285929,-0.587939,1.0090866088867188,99.89118576049805,99.99914169311523,79.50490713119507
16,nocc,0.8012925783793131,1.8077555,1.0060162544250488,97.09194302558899,99.99914169311523,56.70329928398132
17,occ,0.5280747413635254,-0.16844833,1.003495454788208,99.97872710227966,99.99914169311523,58.44283699989319
18,occ,0.5832764307657877,-0.49965858,1.00105881690979,99.96271133422852,99.99914169311523,75.01935958862305
19,occ,0.619278351465861,-0.7156702,1.0051014423370361,99.98730421066284,99.99914169311523,85.7953429222107
20,occ,0.5995479822158813,-0.5972878,1.0057885646820068,99.96907711029053,99.99914169311523,79.89445924758911
21,nocc,0.5711753368377686,0.42705202,0.9854748249053955,99.99113082885742,99.99914169311523,71.34458422660828
22,nocc,0.584052046140035,0.50431216,1.0030839443206787,99.96092915534973,99.99914169311523,75.17739534378052
23,nocc,0.5681198438008627,0.4087193,1.0075302124023438,99.96365308761597,99.99914169311523,70.40048241615295
24,occ,0.5610380172729492,-0.3662281,1.0071461200714111,99.90397095680237,99.99914169311523,68.40657591819763
25,occ,0.6377108097076416,-0.826265,1.0076971054077148,99.8902678489685,99.99914169311523,91.42212271690369
26,occ,0.5778518517812093,-0.4671111,1.0080742835998535,99.83077049255371,99.99914169311523,73.5239326953888
27,occ,0.5534020264943441,-0.32041204,1.0041813850402832,99.33235049247742,99.99914169311523,66.68739318847656
28,nocc,0.8448991775512695,2.069395,0.9905040264129639,98.06128144264221,99.99914169311523,55.40933012962341
29,nocc,0.6665615638097128,0.9993694,1.0025818347930908,99.94555115699768,99.99914169311523,99.91487264633179
30,nocc,0.6668799718221029,1.0012796,1.0017666816711426,99.93357062339783,99.99914169311523,99.99840259552002
31,nocc,0.666923443476359,1.0015408,1.0008606910705566,99.92157220840454,99.99914169311523,99.99947547912598
32,nocc,0.6669804255167643,1.0018826,1.0043528079986572,99.9049723148346,99.99914169311523,99.99996423721313
33,nocc,0.6669449806213379,1.0016698,0.9982099533081055,99.91558790206909,99.99914169311523,99.99992847442627
34,nocc,0.6668423016866049,1.0010536,1.6710925102233887,99.94582533836365,99.99914169311523,99.99935626983643
35,nocc,0.6671592394510905,1.0029556,1.001025915145874,99.85118508338928,99.99914169311523,99.99983310699463
36,nocc,0.662076473236084,0.97245884,0.9886038303375244,99.84942674636841,99.99914169311523,98.47322106361389
37,nocc,0.7026955286661783,1.2161732,1.004941701889038,94.24958825111389,99.99914169311523,83.44005942344666
38,nocc,0.6996586322784424,1.1979519,1.0034096240997314,98.90154004096985,99.99914169311523,89.00308012962341
39,nocc,0.5832698345184326,0.499619,1.0014386177062988,99.99247789382935,98.55433702468872,73.54281544685364
40,nocc,0.999992847442627,2.9999568,0.9935550689697266,99.9987006187439,99.99914169311523,100.0
41,occ,0.5808566411336263,-0.48513985,1.0280301570892334,99.91583824157715,99.99914169311523,74.3402898311615
42,occ,0.6145097812016805,-0.6870587,0.999021053314209,99.91493225097656,99.99914169311523,84.43714380264282
43,occ,0.6081955432891846,-0.64917326,0.9856412410736084,99.95939135551453,99.99914169311523,82.4984073638916
44,occ,0.5368276437123617,-0.22096574,1.0030391216278076,99.96788501739502,99.99914169311523,61.07954382896423
45,occ,0.5593817234039307,-0.35629046,1.003638505935669,99.93371367454529,99.99914169311523,67.87994503974915
46,occ,0.5956358909606934,-0.57381535,1.0031969547271729,99.92085099220276,99.99914169311523,78.76905798912048
47,occ,0.5663044055302938,-0.39782643,1.0004785060882568,99.92910623550415,99.99914169311523,69.96135711669922
48,occ,0.5687662760416666,-0.41259766,1.0018134117126465,99.95033740997314,99.99914169311523,70.67868113517761
49,occ,0.5630481243133545,-0.37828875,0.9974806308746338,99.92151260375977,99.99914169311523,68.99206638336182
50,occ,0.5140775442123413,-0.084465384,0.9815361499786377,99.94064569473267,99.99914169311523,54.28175926208496
