spotID,judgement,confidence,tug,dtime,tom_conf,jerry_conf,tweety_conf
0,occ,0.5195213953653971,-0.11712849,3.5164856910705566,63.88130784034729,53.365689516067505,73.10342788696289
1,occ,0.529017448425293,-0.17410445,2.902947187423706,64.67541456222534,50.27483105659485,73.10580611228943
2,occ,0.5453405777613322,-0.27204335,2.7885801792144775,65.2202844619751,55.71660399436951,73.10584783554077
3,occ,0.5816375414530436,-0.48982525,2.876218795776367,65.82468748092651,67.21009612083435,73.10585975646973
4,occ,0.6583415667215983,-0.9500494,2.8407413959503174,51.30724310874939,73.0893611907959,73.10585975646973
5,occ,0.5652682781219482,-0.39160967,3.106109142303467,62.45812773704529,58.932799100875854,73.10581803321838
6,occ,0.5295536518096924,-0.17732191,3.228820562362671,64.47914838790894,50.239384174346924,73.10585975646973
7,occ,0.551305333773295,-0.307832,4.187676668167114,64.47663903236389,56.76237940788269,73.10585975646973
8,occ,0.5954960584640503,-0.57297635,3.14703631401062,64.35381770133972,69.89677548408508,73.10585975646973
9,occ,0.5887793699900309,-0.53267634,4.373752117156982,66.95541143417358,70.48337459564209,73.10585975646973
10,occ,0.5888503789901733,-0.5331023,2.9554829597473145,68.13156008720398,71.68081402778625,73.10585975646973
11,occ,0.5700323581695557,-0.42019403,2.9289872646331787,68.17242503166199,66.07626676559448,73.10585975646973
12,occ,0.6240631739298502,-0.74437904,2.8224945068359375,58.98248553276062,73.09557795524597,73.10585975646973
13,occ,0.6460904677708944,-0.8765428,2.977449655532837,52.35214829444885,73.07343482971191,73.10585975646973
14,occ,0.6513331731160482,-0.90799916,2.817500114440918,50.77399015426636,73.06808829307556,73.10585975646973
15,occ,0.6252479950586954,-0.751488,2.7992334365844727,54.26483154296875,68.73337030410767,73.10585975646973
16,occ,0.5855986674626669,-0.513592,2.899684429168701,70.4063355922699,72.9800820350647,73.10585975646973
17,nocc,0.5109384457270304,0.06563079,2.790154218673706,65.09960889816284,61.2876296043396,73.10569882392883
18,occ,0.6138607660929362,-0.6831645,2.8564999103546143,60.746800899505615,71.79916501045227,73.10585975646973
19,occ,0.642800768216451,-0.8568046,2.786712408065796,53.36976647377014,73.1041431427002,73.10585975646973
20,occ,0.578582247098287,-0.47149348,2.951284646987915,65.5784547328949,66.04726910591125,73.10585975646973
21,occ,0.5906394720077515,-0.54383683,2.812605857849121,66.04369878768921,70.1296865940094,73.10585975646973
22,occ,0.5923486550649008,-0.55409205,2.786780595779419,67.23130941390991,71.83005809783936,73.10585975646973
23,occ,0.5937385161717733,-0.5624311,2.9417202472686768,67.93161034584045,72.94730544090271,73.10585975646973
24,occ,0.6189148426055908,-0.71348894,2.8210620880126953,60.50748825073242,73.07607531547546,73.10585975646973
25,occ,0.5859665075937907,-0.51579905,2.819657802581787,70.27803063392639,72.96212315559387,73.10585975646973
26,occ,0.5928257703781128,-0.5569546,2.759402275085449,68.29590201377869,73.03777933120728,73.10585975646973
27,occ,0.6263991991678873,-0.7583952,2.924849033355713,58.23954939842224,73.05344939231873,73.10585975646973
28,occ,0.5862442255020142,-0.51746535,2.8016164302825928,70.32750248908997,73.09491038322449,73.10585975646973
29,occ,0.5161042213439941,-0.09662533,2.8031959533691406,66.0051167011261,52.269476652145386,73.10585975646973
30,occ,0.5844865640004476,-0.50691926,2.7927322387695312,65.20828008651733,67.44838356971741,73.10585975646973
31,occ,0.5856457153956095,-0.5138743,2.9365732669830322,65.90756177902222,68.49541664123535,73.10585975646973
32,occ,0.5935070514678955,-0.5610424,2.7816834449768066,66.50066375732422,71.44692540168762,73.10585975646973
33,occ,0.5905011494954427,-0.543007,2.868701457977295,67.66603589057922,71.71052694320679,73.10585975646973
34,occ,0.5790031750996908,-0.47401893,2.787829637527466,68.44485402107239,69.03994083404541,73.10585975646973
35,occ,0.5951594909032186,-0.57095695,2.92659592628479,65.98151922225952,71.42350673675537,73.10585975646973
36,occ,0.6098431746164957,-0.65905905,2.8055896759033203,59.12666916847229,68.9737617969513,73.10585975646973
37,occ,0.5717478593190511,-0.43048716,2.786484479904175,68.65231394767761,67.07080602645874,73.10585975646973
38,occ,0.5832615693410238,-0.49956942,2.909306526184082,66.0011887550354,67.8737998008728,73.10585975646973
39,nocc,0.5566659371058146,0.3399955,2.7869880199432373,67.7915871143341,72.31006026268005,73.10186624526978
40,nocc,0.568038543065389,0.40823126,2.8513998985290527,70.37957310676575,73.09716939926147,73.06519150733948
41,occ,0.5274914900461832,-0.16494894,2.8120949268341064,66.03482961654663,51.17643475532532,73.10584783554077
42,occ,0.5193416277567545,-0.11604953,3.0140936374664307,67.04239845275879,50.26096701622009,73.1058418750763
43,occ,0.5311030149459839,-0.18661797,2.8690338134765625,67.17294454574585,53.397977352142334,73.10585975646973
44,occ,0.5139776070912679,-0.08386564,2.7798776626586914,66.5437400341034,52.36881971359253,73.10583591461182
45,occ,0.5023524761199951,-0.014114857,2.7918760776519775,67.3236072063446,55.07646203041077,73.10581803321838
46,occ,0.5467979907989502,-0.28078794,2.9034743309020996,67.77412295341492,58.70766639709473,73.10585975646973
47,nocc,0.5425684452056885,0.25541043,2.778116226196289,69.4301426410675,66.44576787948608,73.10538291931152
48,nocc,0.5039872725804647,0.023923635,2.8115644454956055,69.36423182487488,54.93780970573425,73.10585975646973
49,nocc,0.5461848974227905,0.2771095,2.8519628047943115,69.49754357337952,67.46188998222351,73.10396432876587
50,occ,0.5405193567276001,-0.24311602,3.077814817428589,68.94400119781494,57.99394249916077,73.10585975646973
